gitgdate,time,client_ip,port,query_domain,record_type,flag,nameserver_ip
1591920000000,27732698,5.133.222.50,32813,giikyjnr.xn--fzc2c9e2c,NS,+E(0),203.94.66.129
1591920000000,27732701,95.216.159.208,51678,hdqyqf.com.lk,NS,+,203.94.66.129
1591920000000,27732725,95.216.159.208,44146,silverleafmedia.lk,NS,+,203.94.66.129
1591920000000,27732727,2a03:2880:1310:4fc0:face:b00c:0:161,41666,www.redcross.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27732729,52.180.181.248,51910,cdns3.lankahost.lk,A,-,203.94.66.129
1591920000000,27732738,2406:c00:0:1::4,11014,slt.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27732749,2a03:2880:23ff:12f::1,55066,www.iSK.135wap.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27732753,2a03:2880:23ff:12f::1,47619,www.iSK.135wap.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27732776,61.163.252.106,62253,www.ips.lk,AAAA,-E(0)D,203.94.66.129
1591920000000,27732787,106.187.11.36,55817,www.srilankateaboard.lk,AAAA,-E(0),203.94.66.129
1591920000000,27732790,83.235.72.190,35615,92w20.LK,A,-E(0)DC,203.94.66.129
1591920000000,27732799,159.89.207.154,8576,lakshmanwasanthaperera.lk,A,-E(0)D,203.94.66.129
1591920000000,27732804,68.114.47.99,21504,ns1.ac.lk,A,-E(0)DC,203.94.66.129
1591920000000,27732810,68.114.47.109,12445,o16m0.lk,AAAA,-E(0)DC,203.94.66.129
1591920000000,27732810,159.69.157.209,45195,silvermediastudios.lk,NS,+,203.94.66.129
1591920000000,27732812,192.36.234.87,35148,giil.xn--xkc2al3hye2a,NS,+E(0),203.94.66.129
1591920000000,27732839,46.21.103.12,40996,silvertech-tripoli.lk,NS,+,203.94.66.129
1591920000000,27732843,62.138.131.20,62965,cbsltd.lk,A,-E(0)DC,203.94.66.129
1591920000000,27732849,176.74.195.170,36560,innovatingforex.lk,NS,+E(0),203.94.66.129
1591920000000,27732872,45.79.214.182,58250,mail1.ceyins.lk,A,-E(0)D,203.94.66.129
1591920000000,27732877,2402:4000:0:1::1,51079,o2.lk,A,-E(0)DV,2402:d000:100c::129
1591920000000,27732880,2400:cb00:19:1024::6ca2:e44e,40555,ankadaily.lk,SOA,-E(0)D,2402:d000:100c::129
1591920000000,27732882,130.255.161.237,36357,giil3gn97346i9nw502rj3fb1n35vt47s.xn--fzc2c9e2c,NS,+E(0),203.94.66.129
1591920000000,27732910,46.21.103.12,39578,hdcreep.com.lk,NS,+,203.94.66.129
1591920000000,27732926,95.216.159.208,51678,hdqzsb.com.lk,NS,+,203.94.66.129
1591920000000,27732933,2404:6800:4000:1001::103,51886,lakbima.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27732933,2a03:2880:3011:afc2:face:b00c:0:229,11135,ou.ac.lk,MX,-E(0)DC,2402:d000:100c::129
1591920000000,27732935,170.19.203.69,25651,s1.ns.slt.lk,A,-E(0)DC,203.94.66.129
1591920000000,27732950,95.216.159.208,44146,silverleaforegon.lk,NS,+,203.94.66.129
1591920000000,27732955,156.38.171.142,39668,nic.lk,A,-E(0)DC,203.94.66.129
1591920000000,27732958,31.13.103.113,22181,www.helanews.lk,AAAA,-E(0)DC,203.94.66.129
1591920000000,27732974,2606:4700:1101:0:a25c:f0fd:687a:adb1,36647,slt.lk,A,-E(0)D,2402:d000:100c::129
1591920000000,27732976,203.129.27.73,17445,slt.lk,A,-E(0)DC,203.94.66.129
1591920000000,27732989,46.101.12.191,54980,rbb-art.com.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733004,130.255.163.47,33212,giil7c.xn--xkc2al3hye2a,NS,+E(0),203.94.66.129
1591920000000,27733008,159.69.157.209,45195,silvermedicalvisuals.lk,NS,+,203.94.66.129
1591920000000,27733023,207.154.216.38,43298,oxcta.net.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733026,2400:cb00:78:1024::a29e:e90e,50510,afasga.lk,NS,-E(0)D,2402:d000:100c::129
1591920000000,27733038,194.14.254.158,36351,giil8uh471rlpu2i4hh60fe85hpgqv50.xn--fzc2c9e2c,NS,+E(0),203.94.66.129
1591920000000,27733039,193.235.200.206,35552,innovatingfrozen.lk,NS,+E(0),203.94.66.129
1591920000000,27733056,91.245.80.251,18473,s2.ns.slt.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733060,123.151.76.12,40218,shiplink.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733063,46.21.103.12,40996,silvertechmedia.lk,NS,+,203.94.66.129
1591920000000,27733064,2401:4900:50:9::4,7043,www.bestweb.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27733065,2401:4900:50:9::4,64135,m.nic.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27733076,46.101.12.191,29372,paperfields.org.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733091,2001:1890:1ff:8c9:151:164:110:119,54767,static.lankadeepa.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733104,46.101.12.191,22890,qualitybeef.net.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733106,34.223.112.224,37195,submit.uom.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733135,46.21.103.12,39578,hdcrttv.com.lk,NS,+,203.94.66.129
1591920000000,27733147,67.195.93.168,59679,ns1.etisalat.lk,AAAA,-E(0)DCV,203.94.66.129
1591920000000,27733150,67.195.93.168,59753,ns2.etisalat.lk,AAAA,-E(0)DCV,203.94.66.129
1591920000000,27733151,2a04:e4c0:40::79,11276,lk,DNSKEY,-E(0)DC,2402:d000:100c::129
1591920000000,27733159,95.216.159.208,51678,hdr-concrete.com.lk,NS,+,203.94.66.129
1591920000000,27733176,216.244.66.226,57943,rentitem.lk,A,-E(0)D,203.94.66.129
1591920000000,27733185,95.216.159.208,44146,silverleafpunjab.lk,NS,+,203.94.66.129
1591920000000,27733187,195.189.112.23,36464,giilal.xn--xkc2al3hye2a,NS,+E(0),203.94.66.129
1591920000000,27733206,194.132.115.186,35094,giila-us.xn--fzc2c9e2c,NS,+E(0),203.94.66.129
1591920000000,27733214,159.69.157.209,45195,silvermembranes.lk,NS,+,203.94.66.129
1591920000000,27733218,211.229.63.132,57320,ns1.etisalat.lk,AAAA,-E(0)DCK,203.94.66.129
1591920000000,27733220,183.207.96.73,27537,kdu.ac.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733223,211.229.63.132,40121,ns2.etisalat.lk,AAAA,-E(0)DCK,203.94.66.129
1591920000000,27733225,34.221.183.237,59269,pickme.lk,MX,-E(0)DC,203.94.66.129
1591920000000,27733225,2404:4408:5::b9,19131,s1.ns.slt.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733231,46.101.12.191,32638,rbalance.com.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733240,151.252.25.157,34910,innovatinghealthcare.lk,NS,+E(0),203.94.66.129
1591920000000,27733281,66.249.70.88,42664,www.surejobs.lk,A,-,203.94.66.129
1591920000000,27733282,2a04:e4c0:20::19,26692,marine.lk,DS,-E(0)DC,2402:d000:100c::129
1591920000000,27733284,207.154.216.38,23982,oxfashion.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733286,209.124.68.228,4575,ceylonentrepreneur.lk,AAAA,-,203.94.66.129
1591920000000,27733286,46.101.12.191,26115,peterschagen.org.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733287,209.124.68.228,18568,ceylonentrepreneur.lk,A,-,203.94.66.129
1591920000000,27733288,46.21.103.12,40996,silvertechvc.lk,NS,+,203.94.66.129
1591920000000,27733310,46.101.12.191,23332,qualitybicycles.net.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733316,129.232.171.202,54973,www.zz--icann-monitoring.xn--fzc2c9e2c,A,-,203.94.66.129
1591920000000,27733325,98.8.35.144,63951,y2ur.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733334,2620:171:fa:f0::7,44637,google.lk,DS,-E(0)D,2402:d000:100c::129
1591920000000,27733336,162.249.226.48,14330,nethgossip.lk,A,-,203.94.66.129
1591920000000,27733355,199.127.196.52,64644,ac.lk,DNSKEY,-E(0)DC,203.94.66.129
1591920000000,27733359,46.21.103.12,39578,hdcsblc.com.lk,NS,+,203.94.66.129
1591920000000,27733364,34.223.112.224,40371,smtp-a.uom.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733372,130.255.166.166,35309,giilcg.xn--fzc2c9e2c,NS,+E(0),203.94.66.129
1591920000000,27733379,104.215.199.95,49787,mcshaw.lk,MX,-,203.94.66.129
1591920000000,27733379,5.133.223.97,34255,giilcg.xn--xkc2al3hye2a,NS,+E(0),203.94.66.129
1591920000000,27733383,95.216.159.208,51678,hdr-law.com.lk,NS,+,203.94.66.129
1591920000000,27733392,35.170.83.89,63544,www.iyakka.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733410,95.216.159.208,44146,silverleafrvahoa.lk,NS,+,203.94.66.129
1591920000000,27733413,159.69.157.209,45195,silvermereclub.lk,NS,+,203.94.66.129
1591920000000,27733433,123.151.76.12,44127,shiplink.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733441,183.207.96.73,65229,idp.kdu.ac.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733447,194.71.247.51,34494,innovatinghospitality.lk,NS,+E(0),203.94.66.129
1591920000000,27733458,207.154.216.38,42448,oxenfarth.net.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733512,2408:8001:342:3004::3,21587,www.ft.lk,A,-E(0)D,2402:d000:100c::129
1591920000000,27733513,46.21.103.12,40996,silvertele.lk,NS,+,203.94.66.129
1591920000000,27733513,2400:cb00:11:1024::6ca2:da87,16969,wow.lk,A,-E(0)D,2402:d000:100c::129
1591920000000,27733531,211.138.19.147,55920,www.ft.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733532,46.101.12.191,57854,quality-auditors.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733540,80.248.238.152,36113,giildan.xn--fzc2c9e2c,NS,+E(0),203.94.66.129
1591920000000,27733543,2001:1890:1ff:9b1:12:121:88:36,35870,webdev.wijeyadigital.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733570,192.36.177.195,34802,giildas.xn--xkc2al3hye2a,NS,+E(0),203.94.66.129
1591920000000,27733572,2001:b000:180:8002:0:2:8:37,53424,zfj.lk,A,-E(0)D,2402:d000:100c::129
1591920000000,27733576,2001:1890:1ff:8c9:151:164:110:120,45054,webdev.wijeyadigital.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733584,46.21.103.12,39578,hdcsports.com.lk,NS,+,203.94.66.129
1591920000000,27733592,101.7.8.186,50786,c.nic.lk,AAAA,-E(0)DC,203.94.66.129
1591920000000,27733608,68.114.46.170,21211,zfjk.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733608,95.216.159.208,51678,hdr-sustainable.com.lk,NS,+,203.94.66.129
1591920000000,27733610,159.69.157.209,45195,silvermermaids.lk,NS,+,203.94.66.129
1591920000000,27733635,95.216.159.208,44146,silverleafsocialshop.lk,NS,+,203.94.66.129
1591920000000,27733647,80.248.228.43,34698,innovatinginnovations.lk,NS,+E(0),203.94.66.129
1591920000000,27733648,101.7.8.187,5087,d.nic.lk,AAAA,-E(0)DC,203.94.66.129
1591920000000,27733660,101.7.8.187,33637,p.nic.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733660,101.7.8.187,10275,c.nic.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733669,45.77.14.10,38957,mobitell.lk,A,-E(0)D,203.94.66.129
1591920000000,27733680,2001:1890:1ff:9c6:12:121:117:182,54916,ns1.etisalat.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27733681,2001:1890:1ff:9c6:12:121:117:182,58474,ns2.etisalat.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27733682,3.235.74.230,52881,cDclANka.LK,NS,-E(0)DC,203.94.66.129
1591920000000,27733698,172.253.211.72,53135,_sipfederationtls._tcp.hipg.lk,SRV,-E(0)DC,203.94.66.129
1591920000000,27733722,2a02:c207::2:53,41544,fIndMYjobs.Lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733731,2400:a980:3000:6666::186,10188,t.nic.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733732,2400:a980:3000:6666::186,13360,t.nic.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27733733,2400:a980:3000:6666::186,25556,l.nic.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733737,46.21.103.12,40996,silvertermal.lk,NS,+,203.94.66.129
1591920000000,27733738,165.22.17.180,20400,l.nic.lk,AAAA,-E(0),203.94.66.129
1591920000000,27733743,2a00:1768:1001:21::32a3:201a,38146,l.nic.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733754,216.20.176.228,54992,s1.ns.slt.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733754,216.20.176.228,2793,s2.ns.slt.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733772,62.210.185.4,34505,silversign.lk,A,-E(0)D,203.94.66.129
1591920000000,27733772,62.210.185.4,39785,silversign.lk,AAAA,-E(0)D,203.94.66.129
1591920000000,27733791,2400:a980:3000:6666::187,38415,m.nic.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27733798,2a03:2880:23ff:108::1,28670,www.dahamsirisena.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733799,2a03:2880:23ff:108::1,13111,www.dahamsirisena.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27733807,159.69.157.209,45195,silvermetalwords.lk,NS,+,203.94.66.129
1591920000000,27733809,46.21.103.12,39578,hdcszh.com.lk,NS,+,203.94.66.129
1591920000000,27733814,183.207.113.75,39747,kdu.ac.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733828,138.246.253.21,14682,_matrix._tcp.mail.svdp.org.lk,SRV,-E(0)DC,203.94.66.129
